Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_YYYY-MM-DD,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_All,Prod_Merc_Positions_Short_All,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_All,M_Money_Positions_Short_All,M_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap__Positions_Short_Old,Swap__Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap__Positions_Short_Other,Swap__Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_Contract_Market_Code_Quotes,CFTC_Market_Code_Quotes,CFTC_Commodity_Code_Quotes,CFTC_SubGroup_Code,FutOnly_or_Combined
WHEAT-SRW - CHICAGO BOARD OF TRADE,240305,2024-03-05,001602,CBT ,0,1,401311,50034,74289,80183,8756,14532,88516,153349,74431,41207,21162,21593,370496,368112,30815,33199,205215,14489,43491,27488,13658,27,88207,95907,14506,43176,19842,0,187893,187431,17322,17784,196096,35545,30798,62363,4766,4837,44851,101984,15383,12226,15515,7398,182603,180681,13493,15415,   27922,    6348,   -1006,   -1412,    -474,    2473,    3477,   12344,   10800,    3080,    2020,    1315,   26081,   27472,    1841,     450,100.0,12.5,18.5,20.0,2.2,3.6,22.1,38.2,18.5,10.3,5.3,5.4,92.3,91.7,7.7,8.3,100.0,7.1,21.2,13.4,6.7,0.0,43.0,46.7,7.1,21.0,9.7,0.0,91.6,91.3,8.4,8.7,100.0,18.1,15.7,31.8,2.4,2.5,22.9,52.0,7.8,6.2,7.9,3.8,93.1,92.1,6.9,7.9,359,     69,     68,     22,      7,     18,     54,     94,     66,     52,     35,     47,267,    275,323,     35,     48,     16,     12,.,     57,     75,     29,     55,     32,      0,175,    185,    254,     58,     51,     19,      6,      9,     37,     53,     36,     25,     38,     24,    182,    176,12.6,11.9,22.1,20.6,12.3,9.7,20.0,17.6,15.9,18.1,27.4,32.0,15.7,18.1,26.4,30.6,20.7,19.8,32.7,29.6,20.5,18.7,32.4,28.2,"(CONTRACTS OF 5,000 BUSHELS)",001602,CBT ,1,A10,FutOnly
WHEAT-SRW - CHICAGO BOARD OF TRADE,240227,2024-02-27,001602,CBT ,0,1,373389,43686,75295,81595,9230,12059,85039,141005,63631,38127,19142,20278,344415,340640,28974,32749,196280,15908,43775,30013,11417,404,78917,89234,13585,36786,16612,3410,179023,178437,17257,17843,177109,27778,31520,58609,4840,4628,42580,88229,13588,12699,13888,5510,165392,162203,11717,14906,  -23081,   -7623,    1929,    1820,    1118,   -2664,    3952,  -11400,   -6294,   -4955,    2739,   -4954,  -20718,  -19526,   -2363,   -3555,100.0,11.7,20.2,21.9,2.5,3.2,22.8,37.8,17.0,10.2,5.1,5.4,92.2,91.2,7.8,8.8,100.0,8.1,22.3,15.3,5.8,0.2,40.2,45.5,6.9,18.7,8.5,1.7,91.2,90.9,8.8,9.1,100.0,15.7,17.8,33.1,2.7,2.6,24.0,49.8,7.7,7.2,7.8,3.1,93.4,91.6,6.6,8.4,329,     60,     65,     22,      7,     18,     53,     83,     71,     42,     39,     42,248,    258,298,     34,     57,     18,     10,.,     59,     61,     32,     43,     34,     13,168,    196,    241,     51,     51,     18,      6,     10,     41,     48,     37,     28,     28,     24,    175,    168,14.1,13.0,24.5,21.6,14.0,11.0,22.5,18.2,17.7,17.8,29.3,30.2,17.4,17.8,28.2,28.7,21.9,21.4,34.0,31.6,21.9,20.7,33.8,30.1,"(CONTRACTS OF 5,000 BUSHELS)",001602,CBT ,1,A10,FutOnly
WHEAT-SRW - CHICAGO BOARD OF TRADE,240220,2024-02-20,001602,CBT ,0,1,396470,51309,73366,79775,8112,14723,81087,152405,69925,43082,16403,25232,365133,360166,31337,36304,232213,26192,41197,29909,11379,3013,73266,98438,29555,42338,18329,7560,211833,209471,20380,22742,164257,25117,32169,57134,4001,4442,37627,83773,10564,12532,9862,5884,153300,150695,10957,13562,     461,    2358,  -12671,     950,     133,   -1470,    1411,   14849,    2479,   -2151,      43,   -4600,   -1023,   -1237,    1484,    1698,100.0,12.9,18.5,20.1,2.0,3.7,20.5,38.4,17.6,10.9,4.1,6.4,92.1,90.8,7.9,9.2,100.0,11.3,17.7,12.9,4.9,1.3,31.6,42.4,12.7,18.2,7.9,3.3,91.2,90.2,8.8,9.8,100.0,15.3,19.6,34.8,2.4,2.7,22.9,51.0,6.4,7.6,6.0,3.6,93.3,91.7,6.7,8.3,346,     65,     65,     22,      8,     21,     52,     85,     74,     48,     38,     48,266,    272,317,     45,     50,     17,     12,     12,     55,     69,     47,     51,     34,     24,196,    224,    242,     48,     52,     19,      6,     11,     41,     46,     36,     29,     28,     22,    171,    169,13.4,12.9,22.9,21.3,12.9,10.1,21.1,17.5,15.7,15.0,25.6,25.5,15.5,14.5,24.7,24.1,23.2,25.6,35.6,36.7,23.2,25.0,35.4,35.5,"(CONTRACTS OF 5,000 BUSHELS)",001602,CBT ,1,A10,FutOnly
WHEAT-SRW - CHICAGO BOARD OF TRADE,240213,2024-02-13,001602,CBT ,0,1,396009,48951,86037,78825,7979,16193,79676,137556,67446,45233,16360,29832,366156,361403,29853,34606,239558,30706,50423,26982,12092,4183,69197,88590,33508,45213,20231,8799,218588,217826,20970,21732,156451,18245,35614,59724,3768,4129,35790,74277,8627,12930,9039,8123,147568,143577,8883,12874,  -23537,   -8463,    1385,    2107,    1673,   -2222,    4548,   -6890,    1139,    -984,    1177,  -17413,  -21288,  -21151,   -2249,   -2386,100.0,12.4,21.7,19.9,2.0,4.1,20.1,34.7,17.0,11.4,4.1,7.5,92.5,91.3,7.5,8.7,100.0,12.8,21.0,11.3,5.0,1.7,28.9,37.0,14.0,18.9,8.4,3.7,91.2,90.9,8.8,9.1,100.0,11.7,22.8,38.2,2.4,2.6,22.9,47.5,5.5,8.3,5.8,5.2,94.3,91.8,5.7,8.2,354,     65,     71,     19,      8,     19,     53,     80,     72,     54,     43,     51,270,    274,326,     47,     58,     12,     14,     10,     55,     68,     51,     56,     38,     34,210,    235,    236,     39,     57,     16,      7,     10,     39,     42,     27,     34,     24,     26,    163,    162,13.4,13.1,22.9,21.3,12.8,10.0,20.7,16.7,15.3,14.7,24.8,23.8,14.6,14.0,23.5,22.4,24.2,27.2,38.5,40.2,24.1,26.7,38.3,38.6,"(CONTRACTS OF 5,000 BUSHELS)",001602,CBT ,1,A10,FutOnly
WHEAT-SRW - CHICAGO BOARD OF TRADE,240206,2024-02-06,001602,CBT ,0,1,419546,57414,84652,76718,6306,18415,75128,144446,66307,46217,15183,47245,387444,382554,32102,36992,273009,40535,50738,29739,10643,8488,67102,102106,35243,49392,22089,18852,249351,248159,23658,24850,146537,16879,33914,53860,2544,3046,32133,66447,6957,14942,11211,10276,138093,134395,8444,12142,    9564,    -471,    1729,    3061,    1527,     170,    2757,    4386,   -8097,     560,     760,   10053,    8033,   10528,    1531,    -964,100.0,13.7,20.2,18.3,1.5,4.4,17.9,34.4,15.8,11.0,3.6,11.3,92.3,91.2,7.7,8.8,100.0,14.8,18.6,10.9,3.9,3.1,24.6,37.4,12.9,18.1,8.1,6.9,91.3,90.9,8.7,9.1,100.0,11.5,23.1,36.8,1.7,2.1,21.9,45.3,4.7,10.2,7.7,7.0,94.2,91.7,5.8,8.3,360,     69,     73,     20,      6,     18,     47,     80,     68,     53,     43,     59,278,    281,338,     51,     63,     15,     11,     10,     48,     75,     56,     58,     43,     40,223,    251,    235,     39,     56,     16,      5,      8,     33,     40,     23,     38,     29,     27,    157,    161,13.1,12.0,21.4,19.6,11.7,9.1,18.7,15.2,13.1,12.4,22.6,21.1,12.3,11.9,19.9,18.6,24.4,27.2,38.9,37.9,24.2,27.0,38.6,36.6,"(CONTRACTS OF 5,000 BUSHELS)",001602,CBT ,1,A10,FutOnly
WHEAT-SRW - CHICAGO BOARD OF TRADE,240130,2024-01-30,001602,CBT ,0,1,409982,57885,82923,73657,4779,18245,72371,140060,74404,45657,14423,37192,379411,372026,30571,37956,273707,40805,50075,28770,10302,7957,70980,105270,41258,47856,19585,12977,250603,247424,23104,26283,136275,17080,32848,52521,2111,2654,28053,61452,6484,13223,10260,8793,128808,124602,7467,11673,     103,   -6342,    3227,    5440,    1360,     399,    3905,    1249,   -9692,    4533,     862,    2086,     329,    -509,    -226,     612,100.0,14.1,20.2,18.0,1.2,4.5,17.7,34.2,18.1,11.1,3.5,9.1,92.5,90.7,7.5,9.3,100.0,14.9,18.3,10.5,3.8,2.9,25.9,38.5,15.1,17.5,7.2,4.7,91.6,90.4,8.4,9.6,100.0,12.5,24.1,38.5,1.5,1.9,20.6,45.1,4.8,9.7,7.5,6.5,94.5,91.4,5.5,8.6,350,     69,     70,     19,      7,     18,     45,     81,     70,     51,     39,     52,273,    266,330,     54,     62,     16,     10,     11,     52,     73,     57,     57,     33,     33,225,    236,    225,     38,     54,     18,      4,      8,     33,     38,     18,     27,     33,     23,    145,    153,12.9,12.6,21.5,20.9,11.6,9.2,18.1,15.1,12.9,12.9,21.9,21.8,11.2,11.8,18.5,18.9,25.0,30.1,40.7,40.5,24.8,29.8,40.4,37.8,"(CONTRACTS OF 5,000 BUSHELS)",001602,CBT ,1,A10,FutOnly
WHEAT-SRW - CHICAGO BOARD OF TRADE,240123,2024-01-23,001602,CBT ,0,1,409879,64227,79696,68217,3419,17846,68466,138811,84096,41124,13561,35106,379082,372535,30797,37344,271489,46030,46004,25079,12041,5763,71758,104318,47287,40808,18523,11627,248352,245563,23137,25926,138390,18197,33692,52946,1186,2275,28158,65943,5359,13861,8583,9934,130730,126972,7660,11418,    9554,   -4129,    1164,     449,    -109,     935,     391,   -6127,    7693,     -22,    2667,    3843,    9160,   10066,     394,    -512,100.0,15.7,19.4,16.6,0.8,4.4,16.7,33.9,20.5,10.0,3.3,8.6,92.5,90.9,7.5,9.1,100.0,17.0,16.9,9.2,4.4,2.1,26.4,38.4,17.4,15.0,6.8,4.3,91.5,90.5,8.5,9.5,100.0,13.1,24.3,38.3,0.9,1.6,20.3,47.7,3.9,10.0,6.2,7.2,94.5,91.7,5.5,8.3,355,     76,     77,     20,      5,     17,     45,     80,     71,     52,     37,     46,275,    269,333,     61,     65,     14,     11,      8,     54,     70,     57,     58,     32,     23,226,    229,    228,     42,     59,     18,.,      7,     32,     40,     20,     26,     31,     22,    146,    157,11.0,12.9,19.6,21.2,9.6,8.8,15.7,14.6,11.9,12.8,20.6,21.7,9.2,11.6,16.0,19.0,24.9,30.2,40.3,41.5,24.7,29.9,40.1,37.7,"(CONTRACTS OF 5,000 BUSHELS)",001602,CBT ,1,A10,FutOnly
WHEAT-SRW - CHICAGO BOARD OF TRADE,240116,2024-01-16,001602,CBT ,0,1,400325,68356,78532,67768,3528,16911,68075,144938,76403,41146,10894,31263,369922,362469,30403,37856,264765,50685,45797,24707,12843,4671,71716,112496,38411,43522,15406,8197,241909,237821,22856,26944,135560,17671,32735,53486,1110,1815,27805,63888,6546,11441,9305,9249,128013,124648,7547,10912,   26638,   10304,    1631,    3053,      94,    1118,    -955,   14158,    7350,    2496,     604,    1985,   25351,   26940,    1287,    -302,100.0,17.1,19.6,16.9,0.9,4.2,17.0,36.2,19.1,10.3,2.7,7.8,92.4,90.5,7.6,9.5,100.0,19.1,17.3,9.3,4.9,1.8,27.1,42.5,14.5,16.4,5.8,3.1,91.4,89.8,8.6,10.2,100.0,13.0,24.1,39.5,0.8,1.3,20.5,47.1,4.8,8.4,6.9,6.8,94.4,92.0,5.6,8.0,355,     78,     72,     20,      6,     16,     41,     88,     66,     59,     32,     45,272,    265,334,     66,     66,     14,     12,      8,     50,     75,     57,     59,     28,     21,228,    232,    220,     42,     53,     18,.,      4,     35,     37,     17,     23,     31,     22,    146,    142,11.0,13.1,19.4,21.7,9.9,8.7,16.3,15.1,12.1,13.2,21.4,22.4,9.7,11.8,17.7,19.6,24.9,30.7,40.8,43.7,24.9,30.4,40.8,39.5,"(CONTRACTS OF 5,000 BUSHELS)",001602,CBT ,1,A10,FutOnly
WHEAT-SRW - CHICAGO BOARD OF TRADE,240109,2024-01-09,001602,CBT ,0,1,373687,58052,76901,64715,3434,15793,69030,130780,69053,38650,10290,29278,344571,335529,29116,38158,247152,41853,44488,24263,11411,4994,72134,103559,32799,40319,13918,8608,224970,219777,22182,27375,126535,16199,32413,49378,949,1873,27871,58196,5279,10632,8673,8369,119601,115752,6934,10783,    7380,   -2474,   -2118,    2563,     551,     120,     822,   -1504,    4455,   -1441,     658,    1186,    5231,    3348,    2149,    4032,100.0,15.5,20.6,17.3,0.9,4.2,18.5,35.0,18.5,10.3,2.8,7.8,92.2,89.8,7.8,10.2,100.0,16.9,18.0,9.8,4.6,2.0,29.2,41.9,13.3,16.3,5.6,3.5,91.0,88.9,9.0,11.1,100.0,12.8,25.6,39.0,0.7,1.5,22.0,46.0,4.2,8.4,6.9,6.6,94.5,91.5,5.5,8.5,342,     73,     70,     20,      6,     18,     43,     83,     68,     57,     27,     47,271,    257,323,     58,     67,     14,     12,     11,     48,     73,     54,     61,     23,     23,224,    224,    218,     38,     51,     18,      4,      5,     33,     36,     19,     24,     31,     21,    139,    145,11.1,13.6,19.9,22.3,10.1,9.0,17.2,15.2,13.0,13.3,23.0,22.2,10.6,12.3,18.9,20.4,24.4,31.4,40.9,43.4,24.4,31.1,40.9,39.5,"(CONTRACTS OF 5,000 BUSHELS)",001602,CBT ,1,A10,FutOnly
WHEAT-SRW - CHICAGO BOARD OF TRADE,240102,2024-01-02,001602,CBT ,0,1,366307,60526,79019,62152,2883,15673,68208,132284,64598,40091,9632,28092,339340,332181,26967,34126,249433,46757,48205,25493,11419,4870,71452,110444,28920,42905,12659,8206,228603,224723,20830,24710,116874,13769,30814,46018,823,1444,27690,52774,4744,8270,8057,8802,110737,107458,6137,9416,    4257,    3803,    1679,      59,     -69,     -52,    3640,    7000,   -4906,     433,    -721,    2997,    5974,    5928,   -1717,   -1671,100.0,16.5,21.6,17.0,0.8,4.3,18.6,36.1,17.6,10.9,2.6,7.7,92.6,90.7,7.4,9.3,100.0,18.7,19.3,10.2,4.6,2.0,28.6,44.3,11.6,17.2,5.1,3.3,91.6,90.1,8.4,9.9,100.0,11.8,26.4,39.4,0.7,1.2,23.7,45.2,4.1,7.1,6.9,7.5,94.7,91.9,5.3,8.1,345,     71,     72,     19,      6,     18,     48,     83,     71,     56,     30,     51,274,    264,328,     57,     67,     14,     11,     13,     51,     74,     58,     56,     29,     27,231,    232,    214,     37,     53,     18,.,      5,     31,     36,     19,     16,     34,     22,    132,    148,11.0,14.1,20.3,22.4,9.9,8.8,16.5,15.6,13.4,12.5,23.5,22.0,10.8,12.2,19.5,20.4,25.5,32.8,42.3,45.2,25.5,32.5,42.3,41.5,"(CONTRACTS OF 5,000 BUSHELS)",001602,CBT ,1,A10,FutOnly
